address,bedrooms,full_bathrooms,half_bathrooms,type,size_sqft,lot_size,price,GEOCODE,zip,distance,pps,lon,lat
2724 KILDRUMMIE ST HENDERSON NV 89044,5.0,3.0,1.0,Single Family Home,4932.0,7840.0,485e3,"-115.10527,35.92801",89044,13.41260847917103,98.33738848337389,-115.10527,35.92801
7136 ALTA DR LAS VEGAS NV 89145,3.0,2.0,0.0,Single Family Home,1620.0,7405.0,125e3,"-115.254395,36.166504",89145,5.796497318606344,77.1604938271605,-115.254395,36.166504
FREEDOM LAS VEGAS NV 89179,3.0,3.0,0.0,Single Family Home; Ready to build,1531.0,87120.0,259990.0,NA,89179,NA,169.8171129980405,NA,NA
200 W SAHARA AV UNIT: 808 LAS VEGAS NV 89102,3.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1828.0,NaN,35e4,"-115.15968,36.14379",89102,2.139542953019473,191.46608315098467,-115.15968,36.14379
6372 W LEVI AVE LAS VEGAS NV 89141,3.0,2.0,1.0,Single Family Home,1514.0,3484.0,175e3,"-115.23181,35.99506",89141,8.88206946016651,115.58784676354028,-115.23181,35.99506
3355 TURTLE VISTA CIR LAS VEGAS NV 89117,5.0,3.0,0.0,Single Family Home,3661.0,7840.0,32e4,"-115.30163,36.12881",89117,7.271588176367436,87.40781207320404,-115.30163,36.12881
221 POPOLO DR LAS VEGAS NV 89138,6.0,4.0,1.0,Single Family Home,3150.0,6098.0,535e3,"-115.34623,36.175735",89138,10.572898612641655,169.84126984126985,-115.34623,36.175735
2765 AUCHMULL ST HENDERSON NV 89044,5.0,3.0,1.0,Single Family Home,2301.0,5662.0,33e4,"-115.10413,35.926983",89044,13.498621335220433,143.41590612777054,-115.10413,35.926983
2205 MENIFEE CT LAS VEGAS NV 89134,3.0,3.0,0.0,Single Family Home,2760.0,10018.8,434900.0,"-115.318375,36.19978",89134,10.03466073404773,157.57246376811594,-115.318375,36.19978
10065 HEMET DR LAS VEGAS NV 89134,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1007.0,2613.0,152500.0,"-115.31524,36.214237",89134,10.514559221122152,151.43992055610724,-115.31524,36.214237
240 MISSION CATALINA LN UNIT: 206 LAS VEGAS NV 89107,1.0,1.0,0.0,Condo/Townhome/Row Home/Co-Op,660.0,NaN,52500.0,"-115.21108,36.17098",89107,4.4345892465345855,79.54545454545455,-115.21108,36.17098
9209 GRAND GATE ST LAS VEGAS NV 89143,5.0,4.0,1.0,Single Family Home,4964.0,9583.0,5e5,"-115.28942,36.322025",89143,15.712792729271202,100.72522159548751,-115.28942,36.322025
3203 MYSTIC RIDGE CT UNIT: 3203 LAS VEGAS NV 89129,2.0,2.0,1.0,Condo/Townhome/Row Home/Co-Op,1464.0,871.0,98e3,"-115.30599,36.218998",89129,10.35374826049403,66.93989071038251,-115.30599,36.218998
8248 CROWN PEAK AVE LAS VEGAS NV 89117,4.0,2.0,1.0,Single Family Home,2561.0,4791.0,299e3,"-115.27118,36.13501",89117,5.678478001737556,116.751269035533,-115.27118,36.13501
717 ROCK SPRINGS DR APT 102 LAS VEGAS NV 89128,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,912.0,1001.0,58995.0,"-115.24663,36.179882",89128,6.104873172455204,64.6875,-115.24663,36.179882
35 ELKHART AVE LAS VEGAS NV 89183,3.0,2.0,1.0,Single Family Home,1483.0,3920.0,92900.0,"-115.17123,35.97978",89183,9.299066626942542,62.64329062710721,-115.17123,35.97978
5500 PEPPERPIKE AVE LAS VEGAS NV 89130,3.0,2.0,0.0,Single Family Home,1135.0,4356.0,115e3,"-115.21856,36.267887",89130,10.870715037479266,101.3215859030837,-115.21856,36.267887
1468 SANTA ANITA DR LAS VEGAS NV 89119,5.0,3.0,1.0,Single Family Home,4472.0,25700.4,359e3,"-115.133385,36.1048",89119,2.308151593524185,80.2772808586762,-115.133385,36.1048
3497 HOLLY AVE NORTH LAS VEGAS NV 89106,3.0,2.0,0.0,Single Family Home,2386.0,12632.4,135e3,"-115.1856,36.1921",89106,5.387966788188347,56.58005029337804,-115.1856,36.1921
2110 N LOS FELIZ ST UNIT: 1092 NORTH LAS VEGAS NV 89156,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1146.0,2178.0,51500.0,NA,89156,NA,44.93891797556719,NA,NA
6887 TAMARUS ST UNIT 102 LAS VEGAS NV 89119,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1172.0,NaN,87e3,"-115.13543,36.06558",89119,3.9776627633949335,74.2320819112628,-115.13543,36.06558
3064 CASEY DR UNIT 102 LAS VEGAS NV 89120,3.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1190.0,1829.0,53242.0,"-115.10808,36.095764",89120,3.8488826363635877,44.741176470588236,-115.10808,36.095764
4582 LIME STRAIGHT DR LAS VEGAS NV 89115,4.0,3.0,0.0,Condo/Townhome/Row Home/Co-Op,1645.0,3049.0,178888.0,"-115.058914,36.24386",89115,10.950356809634506,108.74650455927052,-115.058914,36.24386
7235 SAWTOOTH DR LAS VEGAS NV 89119,3.0,2.0,0.0,Single Family Home,1262.0,5662.0,159900.0,"-115.13352,36.058754",89119,4.436969502985914,126.70364500792392,-115.13352,36.058754
3503 MERCURY ST LAS VEGAS NV 89030,4.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1235.0,1306.0,85e3,"-115.118225,36.22279",89030,8.056798718177156,68.82591093117409,-115.118225,36.22279
5321 BIG FAWN CT LAS VEGAS NV 89130,4.0,2.0,1.0,Single Family Home,2300.0,4356.0,229990.0,"-115.21483,36.267986",89130,10.830246913544663,99.99565217391304,-115.21483,36.267986
8628 YAMAMOTO ST LAS VEGAS NV 89131,5.0,3.0,0.0,Single Family Home,2902.0,6969.0,225e3,"-115.223854,36.31739",89131,14.266923926935405,77.53273604410751,-115.223854,36.31739
5665 BISHOP FLOWERS ST LAS VEGAS NV 89130,3.0,2.0,1.0,Single Family Home,1600.0,2613.0,202288.0,NA,89130,NA,126.43,NA,NA
4683 BERSAGLIO ST LAS VEGAS NV 89135,2.0,2.0,1.0,Single Family Home,2345.0,7405.0,549e3,"-115.32596,36.104618",89135,8.595870666856467,234.11513859275053,-115.32596,36.104618
5570 PETACA RD LAS VEGAS NV 89122,2.0,2.0,0.0,Mfd/Mobile Home,1704.0,4791.0,65e3,"-115.05287,36.13614",89122,6.8710554646465045,38.14553990610329,-115.05287,36.13614
9716 POLO CIR LAS VEGAS NV 89117,4.0,3.0,0.0,Single Family Home,2197.0,8276.0,349900.0,"-115.307755,36.15423",89117,8.025448450885486,159.26263086026398,-115.307755,36.15423
7602 VEDENA PL LAS VEGAS NV 89113,5.0,3.0,1.0,Single Family Home,4898.0,20037.6,799e3,"-115.256905,36.023537",89113,7.849581808701805,163.12780726827276,-115.256905,36.023537
746 OAKMONT AVE UNIT 704 LAS VEGAS NV 89109,1.0,1.0,0.0,Condo/Townhome/Row Home/Co-Op,1099.0,NaN,139900.0,"-115.14707,36.1386",89109,2.1912687480072774,127.2975432211101,-115.14707,36.1386
2915 BEL AIR DR LAS VEGAS NV 89109,2.0,2.0,0.0,Single Family Home,1215.0,4791.0,249900.0,"-115.13987,36.13691",89109,2.3984533553241167,205.679012345679,-115.13987,36.13691
3135 S MOJAVE RD APT 255 LAS VEGAS NV 89121,1.0,1.0,0.0,Condo/Townhome/Row Home/Co-Op,607.0,NaN,24800.0,"-115.10538,36.132645",89121,3.971094694524586,40.85667215815486,-115.10538,36.132645
3615 PLAN LAS VEGAS NV 89131,4.0,3.0,0.0,Single Family Home; Ready to build,3615.0,130680.0,439990.0,NA,89131,NA,121.71230982019364,NA,NA
2615 HERITAGE DR LAS VEGAS NV 89121,4.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1830.0,2613.0,13e4,"-115.10325,36.14222",89121,4.3307325494038365,71.03825136612022,-115.10325,36.14222
917 BOULDER SPRINGS DR UNIT 102 LAS VEGAS NV 89128,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,912.0,NaN,76900.0,"-115.26637,36.181496",89128,6.972369900413193,84.3201754385965,-115.26637,36.181496
8096 AVALON ISLAND ST LAS VEGAS NV 89139,5.0,3.0,0.0,Single Family Home,3313.0,8276.0,336e3,"-115.233025,36.042244",89139,6.022919939646045,101.41865378810745,-115.233025,36.042244
1708 ADRA CT LAS VEGAS NV 89102,4.0,2.0,1.0,Single Family Home,3063.0,10018.8,515e3,"-115.17652,36.150944",89102,2.511243764042218,168.135814560888,-115.17652,36.150944
9317 TOURNAMENT CANYON DR LAS VEGAS NV 89144,5.0,6.0,2.0,Single Family Home,9376.0,19166.4,18e5,"-115.29996,36.17927",89144,8.390816566212614,191.97952218430035,-115.29996,36.17927
6189 GLACIER AVE LAS VEGAS NV 89156,3.0,2.0,0.0,Mfd/Mobile Home,2128.0,6098.0,59e3,"-115.03763,36.197803",89156,9.487346126142628,27.725563909774436,-115.03763,36.197803
2484 SAN MARCOS ST LAS VEGAS NV 89115,4.0,2.0,0.0,Single Family Home,1702.0,6098.0,123e3,"-115.09204,36.204716",89115,7.678795831250011,72.26792009400705,-115.09204,36.204716
5631 BISHOP FLOWERS ST LAS VEGAS NV 89130,3.0,2.0,1.0,Single Family Home,1750.0,2613.0,225505.0,NA,89130,NA,128.86,NA,NA
2324 SPRING WATER DR LAS VEGAS NV 89134,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1799.0,3049.0,269500.0,"-115.32081,36.203506",89134,10.296012403997187,149.80544747081711,-115.32081,36.203506
1505 CRYSTAL RAINEY AVE NORTH LAS VEGAS NV 89086,5.0,4.0,1.0,Single Family Home,3804.0,6098.0,15e4,"-115.12476,36.28231",89086,11.868113551824747,39.43217665615142,-115.12476,36.28231
9470 PEACE WAY UNIT 231 LAS VEGAS NV 89147,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,895.0,NaN,6e4,"-115.29867,36.107513",89147,7.058238351996502,67.0391061452514,-115.29867,36.107513
2877 PARADISE RD UNIT 2402 LAS VEGAS NV 89109,3.0,3.0,0.0,Condo/Townhome/Row Home/Co-Op,2805.0,NaN,968e3,"-115.1548,36.13684",89109,1.8322579227564597,345.0980392156863,-115.1548,36.13684
7866 MIDNIGHT RIDE ST LAS VEGAS NV 89131,5.0,3.0,0.0,Single Family Home,3754.0,7840.0,329e3,"-115.22018,36.303043",89131,13.25667494285844,87.63985082578583,-115.22018,36.303043
117 S ROYAL ASCOT DR LAS VEGAS NV 89144,5.0,5.0,1.0,Single Family Home,5929.0,17424.0,1295e3,"-115.31887,36.173115",89144,9.108496459409077,218.41794569067295,-115.31887,36.173115
2725 S NELLIS BLVD UNIT 1099 LAS VEGAS NV 89121,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1029.0,2178.0,48e3,"-115.065544,36.141075",89121,6.270809013298414,46.647230320699705,-115.065544,36.141075
8480 CEDAR MILL FALLS CT LAS VEGAS NV 89143,5.0,4.0,0.0,Single Family Home,5055.0,21344.4,599900.0,"-115.280014,36.33396",89143,16.264255478759168,118.67457962413452,-115.280014,36.33396
7712 CONSTANSO AVE # 812 LAS VEGAS NV 89128,3.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1344.0,3267.0,149900.0,"-115.263084,36.18832",89128,7.1611146936841354,111.5327380952381,-115.263084,36.18832
207 GREENBRIAR TOWNHOUSE WAY LAS VEGAS NV 89121,1.0,1.0,1.0,Condo/Townhome/Row Home/Co-Op,1320.0,1742.0,69800.0,"-115.092,36.13338",89121,4.701540808392171,52.878787878787875,-115.092,36.13338
931 SINGLE TREE DR HENDERSON NV 89123,4.0,2.0,1.0,Single Family Home,1847.0,3920.0,179900.0,"-115.14171,36.035656",89123,5.7176978102099065,97.40119112073633,-115.14171,36.035656
3500 CACTUS SHADOW ST UNIT 204 LAS VEGAS NV 89129,3.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1223.0,NaN,144e3,"-115.33129,36.22434",89129,11.648745987970525,117.74325429272281,-115.33129,36.22434
2017 WHITE FALLS ST LAS VEGAS NV 89128,4.0,2.0,1.0,Single Family Home,2347.0,8276.0,3e5,"-115.26832,36.19848",89128,7.869367475351235,127.82275244993609,-115.26832,36.198480000000004
4021 BUFFALO BILL AVE LAS VEGAS NV 89110,3.0,2.0,0.0,Single Family Home,1702.0,3920.0,118e3,"-115.08867,36.17095",89110,6.100392005867405,69.33019976498237,-115.08867,36.17095
9096 EPWORTH AVE LAS VEGAS NV 89148,2.0,2.0,1.0,Single Family Home,1246.0,1742.0,131e3,"-115.29035,36.052425",89148,7.853207218485727,105.13643659711076,-115.29035,36.052425
3702 ROYAL FERN CIR LAS VEGAS NV 89115,4.0,2.0,0.0,Single Family Home,1346.0,6098.0,143900.0,"-115.093765,36.239418",89115,9.671417671160732,106.90936106983655,-115.093765,36.239418
